h2_fraction,phi,T_in,P,success,Su,Su_cm_s,T_ad,NO_ppm,N2O_ppm,NO2_ppm,error
0.9892144663956122,1.2140458591911854,300.0,101325.0,True,2.5505979534582064,255.05979534582065,2336.30532072673,2822.413293931235,0.06922905663648653,0.07857254093785303,
0.5913512944769582,0.7653690752809869,300.0,101325.0,True,0.4060005479876142,40.60005479876142,1921.45993743081,13264.579674237995,0.15057083597382245,10.801325287117995,
0.8503697666252552,0.9263746415614185,300.0,101325.0,True,1.2627700864630538,126.27700864630538,2221.4491710149305,13481.395132181078,0.2262394922268214,3.199551249146094,
0.6538412278659161,0.9021130069783836,300.0,101325.0,True,0.6745515667954572,67.45515667954572,2111.6747060827533,14673.599601845372,0.24697116161047158,3.811224210516994,
0.6028359760454687,1.020216601783772,300.0,101325.0,True,0.6807875900227173,68.07875900227172,2180.742367886318,11824.35548898056,0.2455320575218091,0.6877078978142545,
0.7963797182429094,1.104196935293101,300.0,101325.0,True,1.333263451577737,133.32634515777372,2226.0964338282015,11716.045595882704,0.4279277008978135,0.32249412272517924,
0.5725604909858243,1.0854035242727713,300.0,101325.0,True,0.6490927583475904,64.90927583475904,2142.0372220119657,10390.618472151365,0.39174280464776995,0.2290213982017742,
0.620778649940717,0.8234953004918271,300.0,101325.0,True,0.5185127509101258,51.85127509101258,2009.6412339730477,14233.71064887128,0.17151052261674846,8.215430292066348,
0.41970100723276793,0.9422012400354499,300.0,101325.0,True,0.33512827766903347,33.51282776690335,2094.3673971830567,10788.218777337193,0.15817954525261255,2.323679102668613,
0.43958720090141856,0.9077821453596144,300.0,101325.0,True,0.3376090337678825,33.76090337678825,2062.293681763944,11439.107706135745,0.163874416787671,3.626866159547388,
0.5588859433110861,0.8845842223907864,300.0,101325.0,True,0.4836454044297433,48.36454044297433,2069.953329637781,13455.708484574845,0.1650505795482911,5.357056978525315,
0.19075266887338668,1.1746349042833546,300.0,101325.0,True,0.1756760218041225,17.56760218041225,2019.9623307644988,1647.367414714034,0.052909389451738696,0.01162885506814057,
0.46236135134410916,0.8647444793071317,300.0,101325.0,True,0.33638038290644795,33.63803829064479,2019.9343734908668,11905.671508487614,0.14441565145998075,5.854542839730879,
0.5146389388447224,0.999068316775938,300.0,101325.0,True,0.4989108245419365,49.89108245419365,2159.4668756008805,10997.713441565029,0.17328888032642495,0.9409962953440386,
0.45333435330583216,1.0066175848683265,300.0,101325.0,True,0.4089595757132803,40.895957571328026,2146.045191784728,9792.04554833541,0.1541680572433286,0.7149392833459021,
0.15792306247219845,0.7289009942893864,300.0,101325.0,True,0.08872667257258993,8.872667257258993,1783.991714767514,6226.001321034473,0.09183665920474554,7.397122438079527,
0.047720384681929615,0.7214618064598535,300.0,101325.0,True,0.06231170374140494,6.231170374140494,1756.14478497876,5075.3173354124165,0.08368531686631739,6.5068205738773495,
0.8949009358273518,0.7828750586936474,300.0,101325.0,True,1.0717533975528646,107.17533975528646,2051.0654419785783,11568.682500253133,0.2885795789106853,5.634091000184542,
0.8651133666874705,0.8392364661764268,300.0,101325.0,True,1.1177295969391623,111.77295969391623,2114.1535443028065,13196.827614428696,0.28965017030696455,4.672325007327361,
0.7036844115356614,1.0168593586257124,300.0,101325.0,True,0.929649187047337,92.9649187047337,2212.021873309044,13018.653200367913,0.2813378743804085,0.8591692750065383,
0.9159418210390978,1.0549000076172266,300.0,101325.0,True,1.8007505150769103,180.07505150769103,2311.364208400844,9786.32059116573,0.23043523470090543,0.6227796070510135,
0.8040586853333268,1.1896428039956135,300.0,101325.0,True,1.4309844197932178,143.0984419793218,2193.789258867429,10547.620512020409,0.5293160225465044,0.1524771912405381,
0.21600880932505098,0.8046403326795826,300.0,101325.0,True,0.13272939492729033,13.272939492729034,1892.2509103126333,7852.928820726954,0.10950898762615634,6.190977587912923,
0.3885464685048007,0.8104218840717843,300.0,101325.0,True,0.2336560827445826,23.36560827445826,1934.3236395335273,10429.56647636064,0.1287007655807454,7.405362813513402,
0.7865046147464497,0.8706098090418357,300.0,101325.0,True,0.946734940744207,94.6734940744207,2119.642663069517,14937.926214047657,0.2854681938712342,4.464060865250362,
0.4794066325192426,0.8784404034275644,300.0,101325.0,True,0.3666986452696524,36.66986452696524,2041.669984860842,12181.995505823395,0.14773285826702018,5.363025052325519,
0.9771299695367882,0.9714574407198533,300.0,101325.0,True,1.9749903592066418,197.49903592066417,2331.536319047782,5021.714437721189,0.16071068654949863,0.9258774548771358,
0.0634045138025924,0.715587223235154,300.0,101325.0,True,0.06369400061231738,6.369400061231738,1751.3249043350877,5114.9658112388815,0.08335553534147201,6.704031728094899,
0.727144087196208,0.9147740119392905,300.0,101325.0,True,0.8613079725677207,86.13079725677207,2147.0802624432995,15050.409110879416,0.2793427266003613,3.2368156966202455,
0.12595207177414014,0.7706240875903995,300.0,101325.0,True,0.09302562989878467,9.302562989878467,1832.968377425705,6490.736156528236,0.09778578879606337,6.317316619560337,
0.03539977350371072,1.205553513867282,300.0,101325.0,True,0.11460458556883665,11.460458556883665,1966.666076633547,109.68611315676387,0.5894750382663329,0.00047522174037477923,
