h2_fraction,phi,T_in,P,success,tau,tau_ms,error
0.5,1.0,1514.2857142857142,101325.0,True,4.915976672457787e-05,0.04915976672457787,
0.5,1.0,1557.142857142857,101325.0,True,4.240761602606521e-05,0.04240761602606521,
0.5,1.0,1600.0,101325.0,True,3.688286817368554e-05,0.03688286817368554,
0.75,1.0,1000.0,101325.0,True,0.0005487741543549555,0.5487741543549555,
0.75,1.0,1042.857142857143,101325.0,True,0.00031579643350672495,0.3157964335067249,
0.75,1.0,1085.7142857142858,101325.0,True,0.00020745011787908125,0.20745011787908124,
0.75,1.0,1128.5714285714284,101325.0,True,0.0001467979368749914,0.1467979368749914,
0.75,1.0,1171.4285714285713,101325.0,True,0.00010904635713135945,0.10904635713135945,
0.75,1.0,1214.2857142857142,101325.0,True,8.383556953191505e-05,0.08383556953191505,
0.75,1.0,1257.142857142857,101325.0,True,6.617531039716195e-05,0.06617531039716194,
0.75,1.0,1300.0,101325.0,True,5.334093617658143e-05,0.05334093617658143,
0.75,1.0,1342.857142857143,101325.0,True,4.374238411713224e-05,0.043742384117132244,
0.75,1.0,1385.7142857142858,101325.0,True,3.639706254829214e-05,0.03639706254829214,
0.75,1.0,1428.5714285714284,101325.0,True,3.0678984694132006e-05,0.030678984694132005,
0.75,1.0,1471.4285714285713,101325.0,True,2.612712738588753e-05,0.02612712738588753,
0.75,1.0,1514.2857142857142,101325.0,True,2.247242682053292e-05,0.022472426820532923,
0.75,1.0,1557.142857142857,101325.0,True,1.950070127356319e-05,0.019500701273563188,
0.75,1.0,1600.0,101325.0,True,1.7051211636463223e-05,0.017051211636463223,
1.0,1.0,1000.0,101325.0,True,0.0002642215864038819,0.26422158640388194,
1.0,1.0,1042.857142857143,101325.0,True,0.0001585780320938016,0.15857803209380159,
1.0,1.0,1085.7142857142858,101325.0,True,0.00010831543835162629,0.10831543835162628,
1.0,1.0,1128.5714285714284,101325.0,True,7.903766090415575e-05,0.07903766090415575,
1.0,1.0,1171.4285714285713,101325.0,True,6.011955741425649e-05,0.06011955741425649,
1.0,1.0,1214.2857142857142,101325.0,True,4.707309525078233e-05,0.04707309525078233,
1.0,1.0,1257.142857142857,101325.0,True,3.769337034394772e-05,0.03769337034394772,
1.0,1.0,1300.0,101325.0,True,3.073239808442515e-05,0.03073239808442515,
1.0,1.0,1342.857142857143,101325.0,True,2.5441426774253103e-05,0.025441426774253102,
1.0,1.0,1385.7142857142858,101325.0,True,2.1343145938352317e-05,0.021343145938352317,
1.0,1.0,1428.5714285714284,101325.0,True,1.8105445122697274e-05,0.018105445122697274,
1.0,1.0,1471.4285714285713,101325.0,True,1.5509055926065553e-05,0.015509055926065553,
1.0,1.0,1514.2857142857142,101325.0,True,1.3403185492983665e-05,0.013403185492983664,
1.0,1.0,1557.142857142857,101325.0,True,1.1677565999891619e-05,0.011677565999891618,
1.0,1.0,1600.0,101325.0,True,1.0245675311196236e-05,0.010245675311196236,
